Iteration,KL_提案手法,HD_提案手法,JSD_提案手法,KL_比較手法,HD_比較手法,JSD_比較手法
1,"(np.float64(1.7722803530086428), np.float64(0.7461344326277214), np.float64(0.21785571628486514), np.float64(0.14384103622589042), np.float64(0.18459191128251448), np.float64(0.033822075568605205))"
2,"(np.float64(1.5619179824184197), np.float64(0.7418537263086982), np.float64(0.21318455679024373), np.float64(0.14384103622589042), np.float64(0.18459191128251448), np.float64(0.033822075568605205))"
3,"(np.float64(0.26499964895292305), np.float64(0.658112754515403), np.float64(0.08612057873975391), np.float64(0.03226926056878557), np.float64(0.08927655757718965), np.float64(0.007958997917494562))"
4,"(np.float64(0.22107692106235877), np.float64(0.6394029128796812), np.float64(0.07457401112004267), np.float64(0.03226926056878557), np.float64(0.08927655757718965), np.float64(0.007958997917494562))"
5,"(np.float64(0.06349286917531397), np.float64(0.3392883363419039), np.float64(0.02185133244785216), np.float64(0.0), np.float64(0.0), np.float64(0.0))"
6,"(np.float64(1.9239346456435684), np.float64(0.7563417512862853), np.float64(0.22236620665808468), np.float64(0.14384103622589042), np.float64(0.18459191128251448), np.float64(0.033822075568605205))"
7,"(np.float64(0.058484996664969376), np.float64(0.3257856153477875), np.float64(0.020209207652870466), np.float64(0.0), np.float64(0.0), np.float64(0.0))"
1,"(np.float64(0.05714455433686335), np.float64(0.32305806811690746), np.float64(0.01974966433117089), np.float64(0.0), np.float64(0.0), np.float64(0.0))"
1,"(np.float64(1.781745763318683), np.float64(0.7483658842153329), np.float64(0.21860421516332035), np.float64(0.14384103622589042), np.float64(0.18459191128251448), np.float64(0.033822075568605205))"
1,"(np.float64(0.07948400022995694), np.float64(0.3694928527785395), np.float64(0.027224470529742275), np.float64(0.0), np.float64(0.0), np.float64(0.0))"
