Iteration,KL_Model,KL_Comparison_Model,HD_Model,HD_Comparison_Model,JSD_Model,JSD_Comparison_Model
1,3.4568107479937047,11.542448678088688,1.515250996607486,1.3537490016108844,0.43723976562845907,0.3367725542737584
2,1.6595685499404442,8.666367153713287,1.031262951787001,1.219166055430695,0.24725893105889568,0.27613959232339774
3,3.31068182057734,11.908067146344258,1.5028668950247615,1.3998977014793297,0.4263882120218842,0.3501127494526578
4,2.6881761086624976,9.018387065970023,1.2643349844374279,1.2785868775918625,0.35384499180775747,0.2960982255033622
5,2.0006216000713244,8.870337725739661,1.0956566090429627,1.243590270590553,0.2823418998190116,0.2859247563190062
6,2.431917736120144,8.294021421665898,1.2908771989023164,1.2019786986014434,0.34296712497583337,0.2831484159270902
7,2.5420169594364657,7.216054035998671,1.2460503025611012,1.0725296291516706,0.33783724043887786,0.24211501049108305
8,1.3203823316764454,9.378307925735175,1.0649309862843928,1.2958045994894036,0.237404746837706,0.30021458346977387
9,2.4817504980764347,9.884425016779494,1.275464969464839,1.23344409460338,0.3813781783600554,0.3011453481765271
10,2.4989689114250555,8.650481178546038,1.34095667539904,1.1080434586564523,0.3847977217142077,0.277238587470267
11,2.4727400338355863,9.923922323481564,1.240915837691619,1.280128710633706,0.3430941979945095,0.3021644260829818
12,2.8002413248654245,8.90544709630141,1.3535336525318271,1.2809337214336953,0.40343414474676337,0.2994567512480846
13,2.800194288923711,8.115052724824693,1.3234622260756599,1.2379211226905273,0.37255354957880316,0.2852972075442731
14,3.124739624002679,8.381406751262338,1.4466591676823348,1.2757448703055427,0.41853097597137073,0.30861435967979023
15,2.6639700069942305,10.04325332096778,1.2726182022712673,1.3571454764230693,0.36046119456053893,0.3310867844651131
16,2.488289882828048,8.971145060421723,1.2023355421183644,1.2298676127625385,0.34164842426666864,0.2952085386276127
17,2.764547176792826,10.365987069214222,1.3527422848092607,1.2465457133464488,0.4142126657377621,0.30186922284390816
18,2.633529179875565,6.67662779961694,1.3497499177078616,1.112469301116358,0.3896958875312632,0.25063239726938835
19,3.0559352995732434,9.803751897028226,1.3440689160768564,1.283286680313642,0.4039400662536524,0.3068284188120617
