Iteration,KL_Model_allpath_same_n,HD_Model_allpath_same_n,JSD_Model_allpath_same_n
1,0.866642174378171,0.7306093634460642,0.15494481955450867
1,1.0372316692145218,0.7924462831880835,0.17099674059769163
2,1.036045765496968,0.7864686736048248,0.17050850782715965
3,1.0810651975649759,0.7650250785777711,0.1587863280058853
4,0.9533325858256048,0.7278900621816178,0.1430596745123022
5,1.3266379206338357,0.8705025967161607,0.21152424582296517
6,2.596456450133229,1.0373305151493437,0.32004616948495246
7,0.8616963647793454,0.7036895554619791,0.1366777401074435
8,1.0440903468929092,0.7874237578237163,0.1887683670649091
9,2.942271955295423,1.054978755392214,0.32627648701318274
10,1.539006727274991,0.9597685489780287,0.2649120198449943
11,3.7248539651237977,1.128112024334117,0.35820345026174966
12,0.8521482806184743,0.7567673713144616,0.14831062104038142
13,1.1161086050760047,0.8276618389838398,0.1885549401159972
14,1.8701663027253133,0.9939725149203495,0.29484740174832885
15,0.8243869332352086,0.7068801797213476,0.130886356232684
16,1.0280508177832766,0.7800282776534966,0.16866794202965768
17,1.0753940621078957,0.8328725121114461,0.19309328908601564
18,1.169680681911556,0.8317666343430044,0.18934683570682734
19,0.9034351965069656,0.7557129070176988,0.1497112434939889
20,1.335182010400622,0.8857047467703212,0.2233306109390269
