Iteration,KL_Model_allpath,HD_Model_allpath,JSD_Model_allpath
1,7.78530162738232,3.328331165970404,1.2075961294624993
2,8.792472452797549,3.2466570580313596,1.1668852272063388
3,8.006812800692986,3.291366432795966,1.1910866297476321
4,7.388427819341722,3.0453081863554887,1.0519359634016492
5,8.669133599037476,3.424584541346671,1.255973706506316
6,9.387856982775036,3.574388131728383,1.3406990160925203
7,8.708252431156941,3.2996028009552685,1.2047569286639548
8,7.683138146655293,3.1615803955654243,1.1088865897190392
9,12.141709050404643,3.9056623772785373,1.5411337165890568
10,9.603349076303514,3.479945957039419,1.3086965321600028
11,6.618818656847562,2.8912622412194877,0.9839940317774738
12,9.080966710513357,3.309447586877122,1.1890245217119482
13,9.11528831875114,3.5257390433781985,1.3166364835318294
14,9.578814370985066,3.331929375327128,1.1942360562407028
15,8.512185371853032,3.445174909362427,1.2750524060958537
16,7.915621317576949,3.241307148119649,1.1629123516194535
17,7.228640700221543,3.102839042405373,1.095318188830035
18,8.800188669443035,3.4264003118774347,1.2670989784948596
19,8.964045249851699,3.3914330710270013,1.226940661698035
20,7.942306026081061,3.3324122900201436,1.2035992257860175
